Deal name masked,Serial #,Customer Name Code,Sector,Execution Status,Nature of Work,Type of Work,BD/KAM Personnel code,Probable Start Date,Probable End Date,Data Delivery Date,Date of PO/LOI,Document Type,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Amount Receivable (Masked),Invoice Status,WO Status (billed)
Powerpuff Girls,SDPLDEAL-060,WOCOMPANY_039,Mining,Executed until current month,Monthly Contract,LiDAR Survey: LiDAR,OWNER_001,,,,2025-01-23,Purchase Order,3877242.4600000004,4575146.1028,2684244.7800000003,1025978.0048000001,Billed- Visit 7,Open
Rafiki,SDPLDEAL-061,WOCOMPANY_048,Mining,Executed until current month,Monthly Contract,"Topography Survey: RGB, Videography for construction monitoring",OWNER_003,,,,2022-09-29,Purchase Order,2757435.2,3253773.5360000003,,0.0,Fully Billed,Open
Bulbasaur,SDPLDEAL-062,WOCOMPANY_050,Others,Executed until current month,Annual Rate Contract,Others,OWNER_004,2025-02-05,2025-06-20,,2025-03-25,Purchase Order,158699.385788,187265.27522984002,,0.0,,Open
Alias_160,SDPLDEAL-063,WOCOMPANY_051,Mining,Executed until current month,Annual Rate Contract,Mine survey,OWNER_001,2025-04-01,2026-04-01,,2025-04-01,LOA/LOI,1.2332,1.455176,,0.0,,Open
Shanks,SDPLDEAL-065,WOCOMPANY_012,Renewables,Completed,One time Project,"Solar Inspection, Thermography",OWNER_004,2025-04-10,2025-04-16,,2025-04-12,Purchase Order,24664.0,29103.52,24664.0,26635.8868,Fully Billed,Closed
Subaru,SDPLDEAL-066,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-10,,2025-04-10,Purchase Order,81555.27726,96235.2271668,81555.27726,-0.0012332,Fully Billed,Closed
Frieza,SDPLDEAL-067,WOCOMPANY_022,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-16,,2025-04-10,Purchase Order,125169.8,147700.364,116542.02450000001,116542.11699000001,Fully Billed,Closed
Subaru,SDPLDEAL-068,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-16,,2025-04-10,Purchase Order,61690.83,72795.17940000001,61690.83,-0.6166,Fully Billed,Closed
Subaru,SDPLDEAL-069,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-16,,2025-04-10,Purchase Order,144622.2968,170654.31022400002,144622.2968,170654.31022400002,Fully Billed,Closed
Subaru,SDPLDEAL-070,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-17,,2025-04-10,Purchase Order,80098.8064,94516.59155200001,80098.8064,20708.954952000004,Fully Billed,Closed
Subaru,SDPLDEAL-071,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-17,,2025-04-10,Purchase Order,94747.98920000001,111802.627256,94747.98920000001,18950.066456,Fully Billed,Closed
Subaru,SDPLDEAL-072,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-17,,2025-04-10,Purchase Order,234398.02360000001,276589.667848,234398.02360000001,276589.667848,Fully Billed,Closed
Tanjiro,SDPLDEAL-073,WOCOMPANY_051,Mining,Completed,One time Project,Others,OWNER_001,2025-05-15,2025-06-15,,2025-04-28,Purchase Order,321865.2,379800.93600000005,166482.0,0.0,Fully Billed,Closed
Frieza,SDPLDEAL-074,WOCOMPANY_022,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-16,,2025-04-10,Purchase Order,188717.79220400003,222686.99480072001,188717.79220400003,-0.56159928,Fully Billed,Closed
Yuji Itadori,SDPLDEAL-076,WOCOMPANY_006,Renewables,Completed,One time Project,"Hydrology, Topography Survey: RGB",OWNER_003,2025-04-05,2025-04-11,,2025-04-01,Purchase Order,431620.0,509311.60000000003,431620.0,0.0,,
Winnie the Pooh,SDPLDEAL-077,WOCOMPANY_042,Mining,Completed,Proof of Concept,"Volumetric survey, Others",OWNER_003,2025-04-30,2025-04-30,,2025-04-18,Email Confirmation,0.0,0.0,,0.0,,
Alias_162,SDPLDEAL-078,WOCOMPANY_052,Mining,Completed,Proof of Concept,Volumetric survey,OWNER_003,2025-06-13,2025-06-13,,2025-06-06,Email Confirmation,0.0,0.0,,0.0,,
Trunks,SDPLDEAL-079,WOCOMPANY_015,Railways,Completed,Proof of Concept,Road/rail survey,OWNER_003,2025-04-23,2025-04-23,,2025-07-01,Email Confirmation,554940.0,654829.2000000001,,0.0,,
Tuxedo Mask,SDPLDEAL-080,WOCOMPANY_052,Mining,Executed until current month,Annual Rate Contract,"Topography Survey: RGB, Volumetric survey",OWNER_003,2025-04-01,2028-03-31,,2025-04-01,Purchase Order,2959680.0,3492422.4000000004,493282.46640000003,582073.3103520001,Billed- Visit 3,Open
Timon,SDPLDEAL-081,WOCOMPANY_046,Renewables,Completed,Proof of Concept,"Topography Survey: RGB, Raw images/videography",OWNER_001,2025-07-01,2025-08-17,,2025-06-27,Purchase Order,277470.0,327414.60000000003,277470.0,327414.60000000003,Fully Billed,Closed
Timon,SDPLDEAL-082,WOCOMPANY_046,Renewables,Pause / struck,Proof of Concept,"Topography Survey: RGB, Raw images/videography, Others",OWNER_001,2025-07-01,2025-08-17,,2025-06-19,Purchase Order,277470.0,327414.60000000003,277470.0,327414.60000000003,Fully Billed,Closed
Subaru,SDPLDEAL-083,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-25,,2025-04-10,Purchase Order,143051.2,168800.416,130176.592,127573.06016000001,Fully Billed,Closed
Tuxedo Mask,SDPLDEAL-084,WOCOMPANY_041,Renewables,Completed,One time Project,Others,OWNER_003,2025-07-01,2025-07-10,,2025-06-21,Purchase Order,215810.0,254655.80000000002,215810.0,254655.80000000002,Fully Billed,Closed
Luffy,SDPLDEAL-085,WOCOMPANY_032,Renewables,Completed,One time Project,Thermography,OWNER_003,2025-06-01,2025-06-30,,2025-06-21,LOA/LOI,,0.0,,0.0,,Open
Alias_162,SDPLDEAL-086,WOCOMPANY_052,Mining,Completed,Annual Rate Contract,Volumetric survey,OWNER_001,2024-07-30,2025-07-30,,2024-07-22,Purchase Order,710616.20832,838527.1258175999,710616.20832,71063.60381759988,Fully Billed,Closed
Alias_162,SDPLDEAL-087,WOCOMPANY_052,Mining,Executed until current month,Annual Rate Contract,Volumetric survey,OWNER_001,2025-04-01,2026-03-31,,2025-08-08,Purchase Order,1065928.752,1257795.92736,838526.672,371228.71615999984,Fully Billed,
Mojo Jojo,SDPLDEAL-088,WOCOMPANY_036,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-04-28,2025-08-15,,2025-04-26,Purchase Order,154150.0,181897.0,154150.0,15415.000000000002,Fully Billed,Closed
Obito,SDPLDEAL-089,WOCOMPANY_023,Mining,Completed,Annual Rate Contract,Others,OWNER_003,2025-06-21,2026-06-20,,2025-07-09,LOA/LOI,0.0,0.0,,0.0,,
Mojo Jojo,SDPLDEAL-090,WOCOMPANY_036,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-12,2025-06-20,,2025-04-15,Purchase Order,223971.3176,264286.154768,223971.3176,-0.9372320000000001,Fully Billed,Closed
Rafiki,SDPLDEAL-091,WOCOMPANY_048,Mining,Completed,Proof of Concept,Thermography,OWNER_003,2025-06-11,2025-06-19,,2025-07-08,Email Confirmation,0.0,0.0,,0.0,,
Alias_160,SDPLDEAL-092,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-06-25,,2025-04-10,Purchase Order,357628.0,422001.04000000004,321686.386,32169.316860000003,Fully Billed,Closed
Obito,SDPLDEAL-093,WOCOMPANY_023,Mining,Completed,One time Project,Others,OWNER_003,2025-07-21,2025-07-25,,2025-07-15,LOA/LOI,76458.40000000001,90220.91200000001,,0.0,,
GG go,SDPLDEAL-094,WOCOMPANY_035,Renewables,Completed,One time Project,Hydrology,OWNER_003,2025-07-15,2025-07-31,,2025-07-10,Purchase Order,749785.6000000001,884747.008,,0.0,,
Subaru,SDPLDEAL-095,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-30,,2025-07-17,Purchase Order,155665.60280000002,183685.411304,155665.60280000002,180570.348104,Fully Billed,Closed
Alphonse,SDPLDEAL-096,WOCOMPANY_009,Renewables,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-07-14,2025-07-28,,2025-07-16,Purchase Order,986560.0000000001,1164140.8,986560.0000000001,1164140.8,Fully Billed,Closed
Alias_160,SDPLDEAL-097,WOCOMPANY_051,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-31,,2025-04-10,,84190.564,99344.86552,79060.452,7907.426384,Fully Billed,Closed
Erwin,SDPLDEAL-098,WOCOMPANY_021,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-26,2025-06-25,,2025-05-22,Purchase Order,319811.922,377378.06796,319811.922,377378.06796,Fully Billed,Closed
Goku,SDPLDEAL-099,WOCOMPANY_003,Railways,Ongoing,One time Project,"LiDAR Survey: LiDAR, Road/rail survey",OWNER_003,2025-07-28,2025-09-30,,2025-07-23,Purchase Order,14391444.0,16981903.92,246640.00000000003,0.0,,
Erwin,SDPLDEAL-100,WOCOMPANY_021,Mining,Completed,Annual Rate Contract,Volumetric survey,OWNER_001,2025-07-01,2025-07-15,,2025-05-28,Purchase Order,791874.716,934412.1648799999,594265.416144,701233.19104992,Fully Billed,Open
Nami,SDPLDEAL-102,WOCOMPANY_002,Mining,Completed,One time Project,Raw images/videography,OWNER_003,2025-08-04,2025-08-09,,2025-08-02,Purchase Order,64373.04,75960.1872,,0.0,,
Ben Tennyson,SDPLDEAL-103,WOCOMPANY_033,Renewables,Completed,One time Project,"Hydrology, Topography Survey: RGB",OWNER_003,2025-07-01,2025-07-31,,2025-08-01,Purchase Order,487114.00000000006,574794.52,,0.0,,
Subaru,SDPLDEAL-105,WOCOMPANY_019,Mining,Completed,One time Project,Topography Survey: RGB,OWNER_001,2025-05-01,2025-05-29,,2025-08-06,Purchase Order,20563.61,24265.059800000003,20251.6104,-0.049328000000000004,Fully Billed,Closed
Yuji Itadori,SDPLDEAL-106,WOCOMPANY_006,Renewables,Completed,One time Project,"Hydrology, Topography Survey: RGB",OWNER_003,2025-08-08,2025-08-20,,2025-08-08,Purchase Order,339130.0,400173.4,339130.0,0.0,Fully Billed,
Alphonse,SDPLDEAL-108,WOCOMPANY_009,Renewables,Completed,One time Project,"Topography Survey: RGB, Hydrology",OWNER_001,2025-08-14,2025-08-30,,2025-08-18,Purchase Order,477247.795732,563152.39896376,477247.795732,0.5201637600000001,Fully Billed,Closed
Rafiki,SDPLDEAL-109,WOCOMPANY_048,Renewables,Ongoing,Annual Rate Contract,"Topography Survey: RGB, Thermography",OWNER_003,2025-09-01,2027-08-31,,2025-08-11,Purchase Order,616600.0,727588.0,,0.0,,
Alias_162,SDPLDEAL-111,WOCOMPANY_052,Mining,,,Others,,,,,2024-11-22,,863240.0,1018623.2000000001,739920.0,8632.4,,
Ben Tennyson,SDPLDEAL-112,WOCOMPANY_034,Renewables,Completed,,"Topography Survey: RGB, Hydrology",,,,,2024-05-16,,215810.0,254655.80000000002,215810.0,0.0,,
Alphonse,SDPLDEAL-113,WOCOMPANY_009,Renewables,,,"Topography Survey: RGB, Hydrology",OWNER_001,,,,2024-12-20,,607351.0,716674.18,607351.0,0.0,,
Yuji Itadori,SDPLDEAL-115,WOCOMPANY_006,Renewables,Completed,,Hydrology,,,,,2025-03-24,,616600.0,727588.0,616600.0,0.0,Fully Billed,
Ace,SDPLDEAL-116,WOCOMPANY_013,Others,Completed,,Topography Survey: RGB,,,,,2025-03-05,,176347.6,208090.168,176347.6,208090.168,Fully Billed,
Shanks,SDPLDEAL-117,WOCOMPANY_012,Renewables,Completed,,Thermography,,,,,2025-03-31,,221636.87000000002,261531.50660000002,221636.87000000002,261531.50660000002,Fully Billed,
Bulbasaur,SDPLDEAL-118,WOCOMPANY_050,Renewables,Completed,,Topography Survey: RGB,,,,,2025-03-25,,308300.0,363794.0,308300.0,363794.0,Fully Billed,
Sesshomaru,SDPLDEAL-119,WOCOMPANY_017,Renewables,Completed,,"Hydrology, Topography Survey: RGB",,,,,2024-12-03,,446418.4,526773.712,446418.4,0.0,Fully Billed,Closed
Mr. Krabs,SDPLDEAL-120,WOCOMPANY_031,Mining,Completed,,Volumetric survey,,,,,2025-01-21,,554940.0,654829.2000000001,554940.0,66592.8,Fully Billed,Closed
Pumbaa,SDPLDEAL-121,WOCOMPANY_047,Renewables,Ongoing,Annual Rate Contract,Thermography,OWNER_004,2025-09-02,2026-09-02,,2025-09-02,LOA/LOI,5224698.44,6165144.159200001,2330748.0,2750282.64,Partially Billed,Open
